Título,Textos em Itálico
É #FAKE foto que mostra Alexandre de Moraes usando boné da USAID,"""O juiz fake Alexandre de Moraes é um dos beneficiários da USAID!!!""
""USAID e Alexandre de Moraes: as peças estão se encaixando.""
Adicione nosso número de WhatsApp

+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)
VEJA

outras checagens feitas pela equipe do FATO ou FAKE"
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE que vinagre de álcool é recomendado para combater mosquito da dengue,"Eu sou o presidente do comitê da dengue aqui de São Miguel do Iguaçu [Paraná]. [...] estamos com 13.4 e nós vamos ter epidemia. Aliás, já estamos em epidemia de dengue em São Miguel do Iguaçu. Aí eu queria deixar uma dica simples, fácil e barato para todos para que venham evitar a ter a dengue. Você compra um vidrinho desse aqui de vinagre, custa R$ 2, R$ 2,20.""
""Você pega esse vinagre, tem que ser o vinagre de álcool, e aí você coloca num recipiente como este. Coloca como assim. Tu pode pôr meio dedo ali ou assim você pode usar também. Aí você pega esse recipiente e você coloca no chão. Você coloca no quarto, na sala, você coloca no local aonde tem mais proliferação do mosquito da dengue. Ele vai matar tanto o pernilongo da dengue, quanto o pernilongo comum.""
""Você coloca no quarto do bebê que não pode passar veneno, aí você coloca isso aqui. Todos os pernilongos que tiverem em volta, eles vão morrer e não vão picar você, não vão ter que picar o teu bebê. Assim você terá o quê? Uma qualidade de vida melhor para você e para tua família. Uma dica simples e barata. O vidro desse aqui de vinagre, você pode melhorar a saúde tua e de teus familiares, OK
Aedes aegypti
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE post que usa vídeo de Paolla Oliveira para anunciar desconto de 50% em camarote no Carnaval 2025; trata-se de golpe,"""🔥Use o código PAOLLAOLIVEIRA e ganhe 50% de desconto no seu ingresso para o carnaval!🔥Não perde essa chance de curtir o melhor do carnaval comigo! Corre, o tempo tá passando! ⏳ Clique em Saiba Mais ou no link da bio para garantir o seu ingresso! Obs: O cupom é válido para a compra de apenas 1 ingresso por pessoa"".
(leia mais abaixo)
(leia mais abaixo)
""A organização do Camarote Arpoador reforça que a Ticketmaster é o único canal oficial de vendas de ingressos para o evento. Qualquer outro site, perfil de rede social ou vendedor oferecendo ingressos não está autorizado e pode estar aplicando um golpe. ⚠️ Atenção: Convites adquiridos fora da Ticketmaster não serão aceitos na entrada, independentemente da aparência ou do valor pago. Nosso sistema de segurança faz a validação em tempo real e bloqueia ingressos falsificados. Fraudadores estão clonando a identidade visual da Ticketmaster e manipulando vídeos de influenciadores para divulgar promoções falsas. Não caia nesse golpe. O caso já está sendo investigado, e a Ticketmaster segue reforçando a segurança da plataforma. Para garantir seu acesso ao Camarote Arpoador, compre exclusivamente através do site oficial da Ticketmaster""
A segurança dos fãs é nossa maior prioridade e investimos constantemente em tecnologia para protegê-los e melhorar sua experiência. Estamos cientes de golpes como o que você mencionou e, por isso, monitoramos e denunciamos ativamente sites fraudulentos, anúncios e atividades suspeitas assim que tomamos conhecimento.
Infelizmente, eventos de alta demanda costumam atrair vendedores não autorizados que tentam enganar os fãs por meio de resultados enganosos em sites de buscas e ofertas fraudulentas. Embora não possamos controlar essas aparições, trabalhamos intensamente para educar os fãs sobre como comprar com segurança.
Sempre compartilhamos links oficiais de compra e dicas de prevenção contra fraudes por meio de nossos canais oficiais de comunicação:
Site - https://www.ticketmaster.com.br/
Instagram - https://www.instagram.com/ticketmasterbr/
Facebook - https://www.facebook.com/TicketmasterBR/
Para ajudar os fãs a evitarem golpes, recomendamos:
- Verificar a URL do site: O único site oficial da Ticketmaster Brasil é www.ticketmaster.com.br. Sites fraudulentos costumam usar URLs semelhantes, mas incorretas.
- Cuidado com pagamentos apenas via Pix: Se um site oferece apenas Pix e afirma ter muitos ingressos para um evento esgotado, provavelmente é um golpe. A Ticketmaster sempre disponibiliza pagamento via cartão de crédito para vendas online. Se o Pix for uma opção, verifique se o destinatário é Ticketmaster Brasil e não uma pessoa física ou outra empresa.
Reforçamos que a compra de ingressos deve ser feita exclusivamente pelos canais oficiais. A Ticketmaster não tem filiação ou parceria com sites de revenda, e qualquer ingresso comprado fora da nossa plataforma pode ser falso, fraudulento e/ou inválido, resultando na recusa de entrada no evento"".
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE que Procon obteve decisão para obrigar operadoras de cartão de crédito a pagar cashback a clientes,"""Doutora, como saber se eu tenho direito a uma indenização pelo cashback escondido no cartão?""
""Bom, vamos lá. O Procon acaba de impor uma medida judicial contra as administradoras de cartões Visa, Mastercard, American Express e Hipercard por esconder mais de R$ 2 bilhões, quando na verdade esse dinheiro era para ter sido pago como cashback para as pessoas que utilizam cartões de crédito e débito. E muito varia de acordo com cada caso, mas pode chegar a até R$ 30 mil. Eu vou te explicar como acessar esse benefício"".
""Se você utiliza cartões de crédito e débito desde 2015, basta clicar no botão que vai estar aqui embaixo e responder a três perguntas rápidas no site do Procon. Assim que forem confirmado seus dados, a atendente vai informar o valor que você tem a receber. Aí, é só informar a sua chave Pix, e o valor cai em até 30 minutos. É simples e fácil"".
Voltar para o início
Voltar para o início
""A informação circulando sobre uma suposta medida judicial do Procon contra administradoras de cartões de crédito e débito, envolvendo pagamentos de cashback via Pix, é falsa. Reforçamos que não há qualquer ação nesse sentido e recomendamos que consumidores fiquem atentos a golpes e informações não verificadas""
""A Visa esclarece que inexiste medida judicial ou do Procon. A companhia, em seu compromisso pela segurança, alerta acerca da inveracidade dessas informações e recomenda cautela aos portadores, para que evitem eventuais abordagens fraudulentas"".
""A American Express nunca solicitará aos titulares de cartões que forneçam informações pessoais através de canais não oficiais e incentiva os titulares de cartões a permanecerem cientes de possíveis golpes que possam envolver solicitações para fornecer informações de suas contas e outras informações pessoais""
""Se mensagens sobre produtos financeiros vêm de contatos desconhecidos ou têm um tom alarmante, ameaçador ou bom demais para ser verdade, provavelmente é falso"".
Voltar para o início
Voltar para o início
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE post que diz mostrar família em avião de pequeno porte antes de acidente em Mato Grosso; aeronave do vídeo real não caiu,"""Família estava filmando antes da tragédia com o avião. Não sabemos quando um até logo é um adeus. Hora que a alma abandona o corpo.""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE que governo entregou administração de 14% do território brasileiro a uma empresa privada,"""Lula entrega 14% do território nacional na mão de uma empresa privada. Uma área do tamanho da Inglaterra e da França, de território indígena, que vai ficar na mão de uma empresa privada. O que os índios acham disso? Vamos obedecer a uma empresa dentro da sua própria terra? Já entregou-se grande parte do país na mão da China, e agora 14% do território nacional na mão dessa empresa privada...""
""Governo Lula entrega 14% do território nacional para ser gerido por uma multinacional. Estão de um território indígena para a multinacional Ambipar sem nenhum processo de licitação. Essa decisão levanta sérias questões: Quem realmente se beneficia? Onde está a transparência? Mais uma vez, a mídia tradicional segue omissa para proteger o Governo Lula da opinião popular""

Voltar ao início.
""§ 4º As terras de que trata este artigo são inalienáveis e indisponíveis, e os direitos sobre essas terras são imprescritíveis.
§ 6º São nulos e extintos, não produzindo efeitos jurídicos, os atos que tenham por objeto a ocupação, o domínio e a posse das terras a que se refere este artigo, ou a exploração das riquezas naturais do solo, dos rios e dos lagos nelas existentes, ressalvado relevante interesse público da União, segundo o que dispuser lei complementar"".
Voltar ao início.
Voltar ao início.
Voltar ao início.
Voltar ao início.
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que vídeo mostre Geraldo Alckmin e Alexandre Moraes sendo hostilizados em Brasília,"""
Geraldo Alckmin
e
Alexandre de Moraes
, juntos em restaurante, são quase linchados em Brasília""
É PRA DIVULGAR👇🏼👇🏼 Geraldo Alckmin e Alexandre de Moraes, juntos em restaurante, são quase linchados em Brasília. O vídeo foi derrubado... assisti, é assustador... o clima ferveu, estão perdendo o controle... bem feito!!! São esses representantes do povo??🤮🗑💩 Kkkkkkkk
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
