index,titulo,resumo,URL
0,É #FAKE vídeo de Paolla Oliveira anunciando desconto de 50% em camarote no Carnaval 2025,é fake post que usa vídeo de paolla oliveira para anunciar desconto de em camarote no carnaval tratase de golpe,https://g1.globo.com/fato-ou-fake/video/e-fake-video-de-paolla-oliveira-anunciando-desconto-de-50-em-camarote-no-carnaval-2025-13354819.ghtml
1,É #FAKE que vídeo mostre criminosos deixando delegacia após recuperar armas de grosso calibre,polícia civil da bahia onde foi feita a gravação explicou ao g que objetos são do tipo airsoft e simulacros os dois homens que aparecem no registro são criadores de conteúdo e não membros de organização criminosas como dizem publicações falsas,https://g1.globo.com/fato-ou-fake/noticia/2025/02/19/e-fake-que-video-mostre-criminosos-deixando-delegacia-apos-recuperar-armas-de-grosso-calibre.ghtml
2,É #FATO: vídeo viral mostra treinamento militar nos Estados Unidos,publicada em fevereiro de na conta oficial de uma companhia de treinamento de fuzileiros navais gravação voltou a circular no início deste ano no registro homem com pés amarrados usa boca para resgatar máscara no fundo de uma piscina,https://g1.globo.com/fato-ou-fake/noticia/2025/02/19/e-fato-video-viral-mostra-treinamento-militar-nos-estados-unidos.ghtml
3,É #FAKE que mamografia aumenta o risco de câncer de mama,integrante da sociedade brasileira de mastologia sbm desmentiu afirmações de que o exame de detecção amplia chance de pacientes terem a doença,https://g1.globo.com/fato-ou-fake/noticia/2025/02/18/e-fake-que-mamografia-aumenta-o-risco-de-cancer-de-mama.ghtml
4,É #FAKE vídeo em que famosos usam camiseta com Estrela de Davi e dedo do meio para Kanye West,autor do registro é criador de conteúdos que usam inteligência artificial e ferramentas de checagem apontaram o uso desse recurso além disso o instagram sinalizou que vídeo é falso e a atriz scarlett johansson protestou contra o uso de sua imagem sem autorização,https://g1.globo.com/fato-ou-fake/noticia/2025/02/17/e-fake-video-em-que-famosos-usam-camiseta-com-estrela-de-davi-e-dedo-do-meio-para-kanye-west.ghtml
5,É #FAKE que vinagre de álcool é recomendado para combater mosquito da dengue,é fake que vinagre de álcool é recomendado para combater mosquito da dengue,https://g1.globo.com/fato-ou-fake/video/e-fake-que-vinagre-de-alcool-e-recomendado-para-combater-mosquito-da-dengue-13347277.ghtml
6,É #FAKE foto que mostra Alexandre de Moraes usando boné da USAID,imagem criada com inteligência artificial mostra ministro do stf usando acessório com logotipo da agência dos estados unidos para o desenvolvimento internacional ela passou a circular dias depois de trump anunciar que encerraria as atividades do órgão,https://g1.globo.com/fato-ou-fake/noticia/2025/02/14/e-fake-foto-que-mostra-alexandre-de-moraes-usando-bone-da-usaid.ghtml
7,Fato ou Fake estreia quadro no 'Mais Você'; assista,no programa apresentado por ana maria braga na tv globo a repórter do g paula paiva paulo falou nesta quinta sobre origem das fake news processos de checagem e como evitar cair em golpes na internet quadro fato ou fake com ana vai ser exibido regularmente,https://g1.globo.com/fato-ou-fake/noticia/2025/02/13/fato-ou-fake-estreia-quadro-no-mais-voce-assista.ghtml
8,"Paula Paiva apresenta o quadro ""Fato ou Fake"" no programa Mais Você",paula paiva apresenta o quadro fato ou fake no programa mais você,https://g1.globo.com/fato-ou-fake/video/paula-paiva-apresenta-o-quadro-fato-ou-fake-no-programa-mais-voce-13339786.ghtml
9,É #FAKE que governo entregou administração de 14% do território brasileiro para empresa,é fake que governo entregou administração de do território brasileiro para empresa,https://g1.globo.com/fato-ou-fake/video/e-fake-que-governo-entregou-administracao-de-14-do-territorio-brasileiro-para-empresa-13338513.ghtml
